map_id,difficulty,agent,success,score,score_delta,initial_health,remaining_health,steps,pit_entries,collected_gold,wumpus_death,termination_reason,runtime_ms,expanded_nodes,plan_cost,error
test_019_medium,medium,astar,1,157,37,120,107,13,0,1,0,escaped_with_gold,0.6247,25,13,
test_019_medium,medium,rule,1,78,-42,120,38,35,1,1,0,escaped_with_gold,3.9706,0,0,
test_019_medium,medium,genetic,1,117,-3,120,67,53,0,1,0,escaped_with_gold,5.356,0,0,
test_020_medium,medium,astar,1,156,36,120,106,14,0,1,0,escaped_with_gold,0.6721,29,14,
test_020_medium,medium,rule,1,140,20,120,90,30,0,1,0,escaped_with_gold,1.889,0,0,
test_020_medium,medium,genetic,1,144,24,120,94,26,0,1,0,escaped_with_gold,2.9146,0,0,
test_021_hard,hard,astar,1,161,41,120,111,9,0,1,0,escaped_with_gold,0.4717,14,9,
test_021_hard,hard,rule,1,151,31,120,101,19,0,1,0,escaped_with_gold,1.1842,0,0,
test_021_hard,hard,genetic,1,161,41,120,111,9,0,1,0,escaped_with_gold,1.2307,0,0,
test_022_hard,hard,astar,1,157,37,120,107,13,0,1,0,escaped_with_gold,0.8156,26,13,
test_022_hard,hard,rule,1,153,33,120,103,17,0,1,0,escaped_with_gold,1.1218,0,0,
test_022_hard,hard,genetic,1,155,35,120,105,15,0,1,0,escaped_with_gold,1.9,0,0,
test_023_hard,hard,astar,1,157,37,120,107,13,0,1,0,escaped_with_gold,0.6556,26,13,
test_023_hard,hard,rule,1,80,-40,120,40,31,1,1,0,escaped_with_gold,3.0441,0,0,
test_023_hard,hard,genetic,1,67,-53,120,27,37,1,1,0,escaped_with_gold,4.6986,0,0,
test_024_hard,hard,astar,1,162,42,120,112,8,0,1,0,escaped_with_gold,0.4899,12,8,
test_024_hard,hard,rule,1,162,42,120,112,8,0,1,0,escaped_with_gold,0.6237,0,0,
test_024_hard,hard,genetic,1,162,42,120,112,8,0,1,0,escaped_with_gold,1.2453,0,0,
test_025_hard,hard,astar,1,158,38,120,108,12,0,1,0,escaped_with_gold,0.6327,26,12,
test_025_hard,hard,rule,0,-30,-150,120,0,19,3,0,0,health_depleted,1.645,0,0,
test_025_hard,hard,genetic,1,88,-32,120,48,12,1,1,0,escaped_with_gold,1.6762,0,0,
test_026_hard,hard,astar,1,161,41,120,111,9,0,1,0,escaped_with_gold,0.5387,16,9,
test_026_hard,hard,rule,1,153,33,120,103,17,0,1,0,escaped_with_gold,1.1259,0,0,
test_026_hard,hard,genetic,1,151,31,120,101,19,0,1,0,escaped_with_gold,2.0869,0,0,
test_027_hard,hard,astar,1,154,34,120,104,16,0,1,0,escaped_with_gold,0.8446,36,16,
test_027_hard,hard,rule,1,142,22,120,92,28,0,1,0,escaped_with_gold,1.9659,0,0,
test_027_hard,hard,genetic,0,50,-70,120,0,16,0,1,1,wumpus,2.102,0,0,
test_028_hard,hard,astar,1,157,37,120,107,13,0,1,0,escaped_with_gold,0.7332,22,13,
test_028_hard,hard,rule,0,50,-70,120,0,59,0,1,1,wumpus,12.8289,0,0,
test_028_hard,hard,genetic,0,50,-70,120,0,21,0,1,1,wumpus,2.7879,0,0,
test_029_hard,hard,astar,1,155,35,120,105,15,0,1,0,escaped_with_gold,0.7187,30,15,
test_029_hard,hard,rule,1,135,15,120,85,35,0,1,0,escaped_with_gold,2.2546,0,0,
test_029_hard,hard,genetic,1,145,25,120,95,25,0,1,0,escaped_with_gold,3.5441,0,0,
test_030_hard,hard,astar,1,158,38,120,108,12,0,1,0,escaped_with_gold,0.8019,29,12,
test_030_hard,hard,rule,1,132,12,120,82,38,0,1,0,escaped_with_gold,2.4939,0,0,
test_030_hard,hard,genetic,1,154,34,120,104,16,0,1,0,escaped_with_gold,2.1932,0,0,
